kind,keyword,word1,word2
pair,,amazing,fresh
pair,,order,told
pair,,really,like
pair,,place,time
pair,,waste,time
pair,,excellent,really
pair,,bad,service
pair,,definitely,fresh
pair,,nice,service
pair,,terrible,expensive
pair,,nice,clean
pair,,place,really
pair,,order,money
pair,,good,fresh
pair,,terrible,decent
pair,,money,like
pair,,nice,really
pair,,food,really
pair,,highly,excellent
pair,,got,time
pair,,service,time
pair,,highly,definitely
pair,,terrible,store
pair,,love,food
pair,,place,definitely
pair,,ordered,day
pair,,food,fresh
pair,,horrible,reviews
pair,,order,terrible
pair,,love,fresh
pair,,never,time
pair,,store,delivery
pair,,even,like
pair,,even,30
pair,,worst,ok
pair,,really,service
pair,,always,food
pair,,order,love
pair,,got,food
pair,,bad,time
pair,,horrible,food
pair,,highly,nice
pair,,never,even
pair,,highly,always
pair,,even,food
pair,,amazing,like
pair,,worst,waste
pair,,favorite,even
pair,,best,food
pair,,bad,attitude
pair,,even,always
pair,,nice,super
pair,,excellent,food
pair,,reviews,phone
pair,,amazing,clean
pair,,always,fresh
pair,,money,store
pair,,always,time
pair,,nice,got
pair,,bad,place
pair,,bad,poor
pair,,love,got
pair,,money,ordered
pair,,order,time
pair,,money,expensive
pair,,ok,expensive
pair,,order,asked
pair,,ok,even
pair,,rude,gave
pair,,terrible,okay
pair,,excellent,definitely
pair,,told,food
pair,,order,place
pair,,definitely,really
pair,,horrible,asked
pair,,perfect,fresh
pair,,order,expensive
pair,,rude,got
pair,,place,perfect
pair,,super,really
pair,,gem,favorite
pair,,place,excellent
pair,,spot,clean
pair,,called,decent
pair,,definitely,time
pair,,really,clean
pair,,favorite,service
pair,,decent,like
pair,,rude,asked
pair,,ordered,said
pair,,terrible,ok
pair,,asked,even
pair,,even,expensive
pair,,always,spot
pair,,super,clean
pair,,great,ordered
pair,,nice,spot
pair,,perfect,super
pair,,best,order
pair,,worst,place
pair,,even,got
pair,,good,money
pair,,favorite,spot
pair,,terrible,asked
pair,,bad,okay
pair,,rude,said
pair,,bad,overpriced
pair,,really,time
pair,,love,even
pair,,rude,store
pair,,place,super
pair,,horrible,told
pair,,horrible,ok
pair,,horrible,delivery
pair,,never,attitude
pair,,food,clean
pair,,never,nice
pair,,ordered,poor
pair,,definitely,perfect
pair,,worst,30
pair,,like,fresh
pair,,never,service
pair,,worst,told
pair,,great,never
pair,,definitely,service
pair,,never,got
pair,,disgusting,waste
pair,,reviews,ordered
pair,,even,open
pair,,asked,30
pair,,bad,got
pair,,told,ordered
pair,,terrible,food
pair,,ordered,decent
pair,,money,called
pair,,asked,expensive
pair,,never,negative
pair,,excellent,spot
pair,,money,got
pair,,amazing,got
pair,,bad,expensive
pair,,good,said
pair,,reviews,even
pair,,overpriced,expensive
pair,,bad,avoid
pair,,ordered,time
pair,,store,ordered
pair,,waste,place
pair,,rude,reviews
pair,,ok,decent
pair,,rude,expensive
pair,,amazing,time
pair,,order,always
pair,,decent,minutes
pair,,bad,love
pair,,store,place
pair,,even,place
pair,,good,got
pair,,spot,fresh
pair,,got,really
pair,,never,waste
pair,,never,told
pair,,got,always
pair,,amazing,expensive
pair,,store,food
pair,,super,fresh
pair,,fresh,service
pair,,never,asked
pair,,worst,decent
pair,,spot,time
pair,,even,service
pair,,rude,phone
pair,,excellent,clean
pair,,ordered,place
pair,,excellent,fresh
pair,,order,clean
pair,,definitely,clean
pair,,place,spot
pair,,good,super
pair,,disgusting,negative
pair,,order,really
pair,,asked,food
pair,,ordered,service
pair,,gem,definitely
pair,,asked,got
pair,,perfect,spot
pair,,reviews,waste
pair,,highly,place
pair,,money,even
pair,,avoid,really
pair,,food,expensive
pair,,order,fresh
pair,,money,overpriced
pair,,highly,really
pair,,disgusting,said
pair,,love,ordered
pair,,best,got
pair,,like,gave
pair,,bad,delivery
pair,,terrible,delivery
pair,,asked,nice
pair,,horrible,poor
pair,,reviews,literally
pair,,great,fuzhou
pair,,bad,decent
pair,,excellent,time
pair,,clean,service
pair,,ordered,always
pair,,asked,dirty
pair,,amazing,food
pair,,ordered,okay
pair,,ordered,got
pair,,great,store
pair,,bad,really
pair,,bad,always
pair,,order,got
pair,,food,day
pair,,bad,called
pair,,reviews,disgusting
pair,,ok,asked
pair,,overpriced,even
pair,,excellent,perfect
pair,,place,fresh
pair,,told,expensive
pair,,never,love
pair,,definitely,like
pair,,horrible,place
pair,,best,clean
pair,,best,even
pair,,never,expensive
pair,,ordered,nice
pair,,charge,dirty
pair,,gem,perfect
pair,,overpriced,ordered
pair,,great,gem
pair,,order,minutes
pair,,gem,excellent
pair,,worst,avoid
pair,,worst,called
pair,,waste,like
pair,,said,food
pair,,money,minutes
pair,,money,service
pair,,highly,service
pair,,amazing,never
pair,,phone,time
pair,,money,time
pair,,never,place
pair,,really,fresh
pair,,love,day
pair,,waste,avoid
pair,,super,service
pair,,terrible,avoid
pair,,order,waste
pair,,waste,ordered
pair,,worst,service
pair,,said,service
pair,,good,minutes
pair,,said,like
pair,,place,clean
pair,,great,even
pair,,good,favorite
pair,,terrible,place
pair,,excellent,like
pair,,waste,expensive
pair,,got,fresh
pair,,terrible,got
pair,,horrible,expensive
pair,,terrible,30
pair,,never,clean
pair,,horrible,30
pair,,store,time
pair,,good,spot
pair,,bad,best
pair,,literally,overpriced
pair,,rude,poor
pair,,reviews,poor
pair,,gem,spot
pair,,reviews,money
pair,,worst,time
pair,,rude,told
pair,,terrible,overpriced
pair,,expensive,clean
pair,,spot,service
pair,,worst,charge
pair,,dirty,time
pair,,ordered,phone
pair,,fresh,time
pair,,spot,really
pair,,store,even
pair,,money,decent
pair,,good,highly
pair,,never,disgusting
pair,,bad,told
pair,,amazing,order
pair,,rude,minutes
pair,,rude,called
pair,,order,called
pair,,horrible,decent
pair,,favorite,like
pair,,definitely,food
pair,,excellent,got
pair,,super,time
pair,,terrible,attitude
pair,,amazing,store
pair,,even,told
pair,,good,fuzhou
pair,,super,food
pair,,asked,waste
pair,,even,really
pair,,bad,day
pair,,ordered,delivery
pair,,30,like
pair,,called,ordered
pair,,like,clean
pair,,worst,hour
pair,,day,fresh
pair,,rude,30
pair,,waste,negative
pair,,always,day
pair,,asked,said
pair,,worst,amazing
pair,,disgusting,like
pair,,money,phone
pair,,order,definitely
pair,,asked,time
pair,,never,said
pair,,nice,perfect
pair,,highly,got
pair,,highly,fresh
pair,,rude,place
pair,,food,gave
pair,,ordered,really
pair,,store,open
pair,,best,asked
pair,,even,nice
pair,,fresh,clean
pair,,waste,gave
pair,,even,said
pair,,good,excellent
pair,,told,said
pair,,best,never
pair,,best,ok
pair,,love,said
pair,,never,always
pair,,order,decent
pair,,good,decent
pair,,good,dirty
pair,,reviews,asked
pair,,reviews,got
pair,,got,clean
pair,,overpriced,said
pair,,never,30
pair,,literally,like
pair,,asked,overpriced
pair,,reviews,charge
pair,,great,told
pair,,good,called
pair,,disgusting,attitude
pair,,amazing,even
pair,,ordered,minutes
pair,,super,like
pair,,amazing,phone
pair,,amazing,bad
pair,,favorite,fresh
pair,,horrible,minutes
pair,,expensive,like
pair,,horrible,overpriced
pair,,never,perfect
pair,,even,spot
pair,,money,disgusting
pair,,got,super
pair,,perfect,day
pair,,definitely,got
pair,,even,super
pair,,got,service
pair,,good,told
pair,,never,definitely
pair,,overpriced,told
pair,,horrible,definitely
pair,,bad,waste
pair,,got,said
pair,,even,poor
